open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
401.1,401.915,396.7,397.9,28753670.0,401.915,396.7,397.9,401.1,28753670.0,1.0,0.0,MSFT,XNAS,"February 25, 2025 12:00 AM"
989.4,994.3999,955.0,977.24,4710531.0,994.3999,955.0,977.24,989.4,4710531.0,1.0,0.0,NFLX,XNAS,"February 25, 2025 12:00 AM"
248.0,249.98,244.91,247.04,46872348.0,250.0,244.91,247.04,248.0,47275651.0,1.0,0.0,AAPL,XNAS,"February 25, 2025 12:00 AM"
211.63,213.34,204.16,212.8,58957977.0,213.34,204.16,212.8,211.63,56572040.0,1.0,0.0,AMZN,XNAS,"February 25, 2025 12:00 AM"
178.04,178.74,174.6939,175.42,41356660.0,178.74,174.6939,175.42,178.04,41356660.0,1.0,0.0,GOOGL,XNAS,"February 25, 2025 12:00 AM"
244.808,248.86,244.59,247.1,51143732.0,248.86,244.42,247.1,244.925,51326396.0,1.0,0.0,AAPL,XNAS,"February 24, 2025 12:00 AM"
217.45,217.715,212.42,212.71,42387585.0,217.715,212.42,212.71,217.45,42387585.0,1.0,0.0,AMZN,XNAS,"February 24, 2025 12:00 AM"
181.99,183.12,178.885,179.25,29854206.0,183.12,178.885,179.25,181.99,29854206.0,1.0,0.0,GOOGL,XNAS,"February 24, 2025 12:00 AM"
408.51,409.37,399.32,404.0,26404000.0,409.37,399.32,404.0,408.51,26443656.0,1.0,0.0,MSFT,XNAS,"February 24, 2025 12:00 AM"
1008.0,1015.17,984.48,988.47,4426227.0,1015.17,984.48,988.47,1008.0,4426227.0,1.0,0.0,NFLX,XNAS,"February 24, 2025 12:00 AM"
417.34,418.05,407.89,408.21,27448200.0,418.048,407.89,408.21,417.335,27524799.0,1.0,0.0,MSFT,XNAS,"February 21, 2025 12:00 AM"
1029.42,1032.38,999.39,1003.15,3738710.0,1032.38,999.39,1003.15,1029.42,3738710.0,1.0,0.0,NFLX,XNAS,"February 21, 2025 12:00 AM"
245.95,248.69,245.22,245.55,53119400.0,248.69,245.22,245.55,245.95,53197431.0,1.0,0.0,AAPL,XNAS,"February 21, 2025 12:00 AM"
223.28,223.31,214.74,216.58,55323850.0,223.31,214.74,216.58,223.28,55323850.0,1.0,0.0,AMZN,XNAS,"February 21, 2025 12:00 AM"
185.15,185.34,179.08,179.66,35199239.0,185.34,179.08,179.66,185.15,35199239.0,1.0,0.0,GOOGL,XNAS,"February 21, 2025 12:00 AM"
244.97,246.78,244.29,245.83,31125149.0,246.78,244.29,245.83,244.94,32316907.0,1.0,0.0,AAPL,XNAS,"February 20, 2025 12:00 AM"
224.775,225.13,221.81,222.88,30001665.0,225.13,221.81,222.88,224.775,30001665.0,1.0,0.0,AMZN,XNAS,"February 20, 2025 12:00 AM"
184.8,185.31,182.72,184.56,20441462.0,185.31,182.72,184.56,184.8,20441462.0,1.0,0.0,GOOGL,XNAS,"February 20, 2025 12:00 AM"
415.29,419.31,412.54,416.13,23461700.0,419.31,412.54,416.13,415.29,23508728.0,1.0,0.83,MSFT,XNAS,"February 20, 2025 12:00 AM"
1043.46,1045.0,1015.5941,1024.54,3111831.0,1045.0,1015.5941,1024.54,1042.0,3111831.0,1.0,0.0,NFLX,XNAS,"February 20, 2025 12:00 AM"
407.88,415.49,407.65,414.77,24052500.0,415.49,407.65,413.94,407.88,24114197.0,1.0,0.0,MSFT,XNAS,"February 19, 2025 12:00 AM"
1035.18,1044.9999,1024.51,1043.33,2600048.0,1044.9999,1024.51,1043.33,1035.18,2600048.0,1.0,0.0,NFLX,XNAS,"February 19, 2025 12:00 AM"
244.66,246.01,243.16,244.87,32184200.0,246.01,243.1604,244.87,244.66,32204215.0,1.0,0.0,AAPL,XNAS,"February 19, 2025 12:00 AM"
225.52,226.83,223.71,226.63,28566709.0,226.83,223.71,226.63,225.52,28566709.0,1.0,0.0,AMZN,XNAS,"February 19, 2025 12:00 AM"
184.07,185.46,183.59,185.27,19549396.0,185.46,183.59,185.27,184.07,19549396.0,1.0,0.0,GOOGL,XNAS,"February 19, 2025 12:00 AM"
243.91,245.18,241.84,244.47,48158313.0,245.18,241.84,244.47,244.15,48822491.0,1.0,0.0,AAPL,XNAS,"February 18, 2025 12:00 AM"
228.82,229.3,223.72,226.65,42975133.0,229.3,223.72,226.65,228.82,42975133.0,1.0,0.0,AMZN,XNAS,"February 18, 2025 12:00 AM"
185.6,185.96,181.7401,183.77,29916675.0,185.96,181.7401,183.77,185.6,29916675.0,1.0,0.0,GOOGL,XNAS,"February 18, 2025 12:00 AM"
408.195,410.597,406.55,409.64,20526137.0,410.597,406.5,409.64,408.0,21423051.0,1.0,0.0,MSFT,XNAS,"February 18, 2025 12:00 AM"
1060.0,1062.0,1023.749,1035.85,4229339.0,1062.0,1023.749,1035.85,1060.0,4229339.0,1.0,0.0,NFLX,XNAS,"February 18, 2025 12:00 AM"
